Date,AAPL,ABBV,AEP,AMT,AMZN,APD,AVGO,BAC,BLK,CAT,CL,COP,COST,CRM,CVX,DE,DIS,DUK,EOG,EQIX,EXC,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,LLY,LOW,MCD,META,MRK,MS,MSFT,NEE,NEM,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,PSA,RTX,SHW,SLB,SO,SPG,T,TSLA,UNH,UNP,WFC,WMT,XOM
2010-01-01,84443465615.38124,,10025232352.49176,14182194923.22802,67452456688.123566,10332197289.114883,5803359257.142774,83082966064.1508,21872380928.79944,16187997418.69115,21810453224.01289,25161000738.665695,18023934155.502274,12790578881.263733,74289511263.62175,9873061409.087944,43335533417.12842,18937931830.11255,16827785446.919022,6980071859.668091,17550655876.3702,34363043435.975525,58049193610.35631,77124934974.68031,32942532857.133408,18939488588.389816,8054264749.70771,93520329736.20842,68551331224.7108,70404510653.38287,25623156558.705368,20513110487.4293,9014327559.823969,28496642252.87975,,51759820003.502716,29608118693.54608,155748724629.73645,15833446492.617582,32177754131.824203,3744604102.524418,15421029228.55187,8543545659.035444,50038103034.973145,50852283089.65211,89421029070.60907,13390325037.143707,7568988578.395935,38916176122.70817,4349840729.208021,64365470578.67847,17867494916.77319,10786092108.192932,41967757565.09482,,23067378498.826675,12598489789.72566,56798738018.1353,101216826842.07195,144351946560.98685
2010-02-01,89965728316.44821,,9847240657.21495,14252354178.211458,63682088681.82232,9328356283.582329,6060471722.012024,91183280971.92238,22381794408.76277,17678502973.114082,22603514993.27631,25418795606.048862,19193741794.915466,13676157154.083252,75187691876.83524,11325861533.011436,45813942690.988525,19007179640.143845,17503354306.333504,6852408567.455261,16857902933.489784,38727348048.4053,58338883032.91304,76667951076.82181,34710290643.48088,21096465085.163067,8436781599.342047,94445772723.03009,73885454426.10445,68418869160.48172,25561925664.382896,20294451102.37271,9872039672.815458,29392528930.201065,,49997451836.15945,31155975028.338028,159197946379.5695,15219972897.384876,36997652399.93646,3973187257.8092117,16352338308.332954,8993206336.796284,52430077713.012695,48278978959.80155,91934427903.41525,13580016505.628586,7856720087.953217,39846248886.49111,4376466978.10981,62173402965.20404,17739080062.482414,11829379697.513733,41057571271.311935,,23668518725.693962,14086392030.425634,54716115542.327805,102429258768.08276,146579027126.50696
2010-03-01,103322983946.26999,,10011264629.359268,14235648112.657412,73024635600.7409,10125577332.066154,6865193702.092726,97755756848.98636,22378977643.804596,19475794583.230442,23235778222.5305,27097495849.28341,18797081822.934128,14984400180.81665,78858704943.35289,11807397054.957485,51196055636.823364,18972291055.9316,17296783576.551247,7060583292.590454,17056456304.825378,43045259241.72992,66112601933.04114,82535940574.83412,37880508559.59668,22036781140.742832,9510287428.025883,97743896155.01889,78779413212.37654,71961998981.54343,28401871934.345856,21405498220.89489,10092716043.36192,30713701651.9924,,51164801517.41447,32383168608.929245,162640622229.37573,15863299217.473217,38311283438.920685,4435777314.260719,17850786968.872574,9659368378.937244,55921458740.234375,47178601233.973976,91919895478.76312,15352817855.434418,8859100261.058624,42725165893.30872,4673389568.511471,64574874692.978,18515188621.476784,12677036019.389008,42762103533.19405,,22836704887.053207,15326291313.234833,62281126145.28749,105921315897.9016,151044082531.66602
2010-04-01,114794000093.153,,10046411733.84906,13634287513.044765,73739985388.95558,10513068432.709816,6848498006.469719,97646253258.65701,18909504861.695473,21231170748.604797,23063961756.059303,31344564104.21193,18598747607.600006,17228538099.28894,84692757370.97635,11878879851.077461,54026441939.562744,19507059016.0784,20896475832.398643,7300674405.111328,16970807744.263603,38987263614.43569,68510040008.71601,76507862352.39203,32234955739.27668,23998629817.584064,9972452055.464247,96394675946.53783,75043149444.71402,69934008702.25371,28665348029.92298,20666769739.788406,11330639651.539558,32495202724.203964,,48000400226.306595,33467299212.325447,169581614079.21597,17084311266.958603,42185295684.88957,5949256410.264648,18436107055.453224,8721187378.46613,55126940773.010254,45995697624.64542,91002283009.94302,15702257884.605408,9332923674.467926,43502913279.95032,5390830107.682358,72674696781.79706,19549166489.579296,13450648235.258911,44057359595.92137,,21206507665.927856,15819740228.980232,66263741952.085594,102187384089.78586,152825557243.45883
2010-05-01,112943016113.9183,,9480351047.59607,13540737100.424137,67479344947.850815,9456011343.895393,6895247428.798304,86200305881.52957,17252863929.492867,18945600050.43124,21415753827.364883,27745960049.817177,18400453993.963028,17415715827.941895,77537701834.9584,11453927968.290615,49010935712.700806,18820429136.440796,19539655122.547913,6673971153.913757,15215222051.322165,36158594884.02554,59392321547.753235,70676276239.13174,32106358144.014107,23065400051.900562,9045398622.029222,88198132647.19211,69755948153.27951,67251756138.68764,26554045345.85289,19651353573.247486,10340466959.67322,31041398303.002514,,46151070391.51929,30023116851.20192,143907857406.15982,16388462728.27473,40485247718.118835,6686145951.878128,17578779467.71479,7294488942.652941,53157516067.50488,42338324727.23935,89435810216.46552,14614484575.069427,8926516622.657684,39337705645.958084,5315908648.143774,57337050208.74466,18497034852.612316,12933410767.54303,41081877098.306625,,20338935364.235924,15007520151.952011,57505224293.167854,96879399876.47856,137267015876.72125
2010-06-01,110590786275.40588,,9581203218.358566,14867076964.405817,58766086920.21755,8938693964.702065,7032148956.879533,78748491809.91054,14827064055.478432,18730449562.522625,21599497859.32995,26263968948.456123,17320122344.629944,17272819473.2666,71229309333.18707,11112577768.780518,46195242030.57617,18867602998.868176,18333804481.302948,5891313118.707428,14966895675.741772,30521882204.441,52714086048.29352,64755891829.527374,29215327281.75499,19255459902.68806,8254431443.8720665,89347874804.44547,64521602366.99667,66131792608.647354,26153907792.011032,20076866661.943108,8531403691.047958,30577183289.519978,,48435703199.23001,25704034318.148705,128345787703.49832,16169633244.966093,46525853216.28224,6535761365.805916,16466638815.552498,5667940594.881773,51914784561.15723,39641799772.85034,87810763579.3718,13363266521.579742,8541264674.282043,37895681116.34885,4799787219.501215,56509927625.50984,18825120737.92826,12282407505.942078,40895915654.50472,5966594706.806547,19953553222.8229,14604124519.587881,51311727107.17107,92108199856.66304,129570377234.78241
2010-07-01,113105692879.91714,,10672812070.772186,15448404503.281738,63407779190.46527,10010343067.158257,7265887561.306124,76940065056.61554,16283922799.34185,21893621370.943943,21798972846.83504,29845154462.131897,17913991526.58705,19915464763.641357,79993884653.4358,13307949857.359028,49406911112.239746,20164748158.618317,18198060846.274986,6782772197.523804,16488409586.511723,37103775798.52981,58928641758.965515,70562752065.56367,33566349132.30432,19557292870.478302,9064435239.807272,87880425994.50252,71086714031.14804,72715964120.23851,29881339586.21338,21335415913.28376,8712922713.726122,32369010851.45776,,47729316306.8555,29945691844.239502,143963667579.7649,17343561964.264084,42124983579.959305,6168819984.070564,17951196713.98314,5101702065.035701,55287764053.34473,41698940728.43337,90239073111.60172,14235893867.902756,9533260528.133057,41509521897.38203,4797010329.56522,60921249970.493,20236365014.29318,13570727448.202332,44876823131.420654,4992607484.3001795,21393861988.685295,15688241576.102451,55580996368.253525,98086549569.16353,135496119204.6752
2010-08-01,106884322084.6405,,10626314569.677887,15655531280.295654,67140497477.88098,10210325348.424194,6728291039.715985,68281572855.12254,14781108925.417717,20452874593.98134,20380300728.418236,28337219122.893658,17912590768.0356,22115322870.254517,78485310757.97258,12627386147.169685,47720422828.263306,20543609663.236412,16214009209.760342,6615942726.745789,16254099707.352846,37337163212.67827,52933420733.3659,65493762587.907196,30551523728.34414,19246245443.60395,8320247428.636866,87075222643.21808,64168642891.3842,73731949295.8681,29609434696.559372,20395398948.189335,8519676485.66068,34168809596.14746,,48698863525.79698,27393804409.096672,131609853995.4306,17983395620.960693,46209359235.264984,7550564047.98201,17063871806.407455,5179420633.092523,54665981430.05371,44721332311.98609,88040581972.15903,13568586523.452759,9523541973.412903,38301688621.251205,4907691714.949059,54663308077.16158,21015347257.059593,13850535394.365906,46762535851.77843,4877434479.768868,22286157238.6009,15394921511.282213,47286835008.51613,96635324267.62923,135162238954.61115
2010-09-01,124757055565.51361,,10872388926.419952,17125540642.18061,84475582165.41798,11489707199.748344,7516319025.616946,71846503522.09532,17727963015.85572,24696621859.04067,21213839908.361492,31039593247.811054,20445703585.02388,22501759752.27356,85869790840.46474,13984836403.30019,48541659504.589966,21177385486.452232,17352554910.321884,7423985565.28656,16996547589.892033,44287009813.67105,59843352846.65437,76520972271.00162,32258374564.16304,21916635625.011047,9359747556.342218,94619079782.86621,67168823987.90248,77800329625.05759,31226637909.138336,22180524792.64134,9364082864.684195,34846948279.212944,,51518381250.53186,27382712320.167915,137329695443.51904,18204292657.569847,47447854667.49948,9754613745.177933,19609102583.895958,6483988807.76763,57017358169.555664,48263042327.35573,88483243535.53897,15097129465.362549,9502742524.875366,41837600804.79199,5239614502.711029,63150285676.918625,21330362342.786873,14201199601.353485,49478678886.17316,5110289495.876889,24758900687.296722,17264950307.872,50439322583.85429,103149623337.89471,141290402546.0857
2010-10-01,132332534650.45547,,11235497837.965302,17242472437.61284,88869863462.8149,11787977880.27195,8240904729.305092,62797134938.68199,17805013717.42785,24807407176.668,21432789718.0933,32389209481.35753,19964686820.277283,23361173320.770264,87511948807.74252,15391736332.218742,52985196849.27429,21775264565.36988,17893869456.273994,6110371559.9314575,16294012178.57485,49317279344.48715,58996317945.88545,89314965902.1309,35950968444.28894,21377025870.320538,10034994554.14868,97337327508.04996,66495608805.529335,81522796565.26329,31600277408.53134,21372974342.48163,9010960887.756197,36371590793.71741,,50818594211.683304,27650673361.90488,149554248755.2463,18421854160.860134,45974789536.14389,10440974355.003738,19927197947.576065,6672736067.146063,56039068222.0459,48965781506.17142,94515976346.2038,16250016773.708344,9716223204.717499,43916832056.821976,5088296816.57485,71637297495.8299,21952009055.18629,14703465206.349121,50292818067.25852,5468333845.14214,25421785061.321648,18505997862.61949,52326743343.71971,104402362650.67787,152037532811.62076
