,PC1,PC2,PC3,PC4,PC5,PC6
AAPL,0.12308062401109256,0.04281961129978635,0.20506702457891457,-0.06450745661195552,0.16053946079081235,0.010131391991227675
MSFT,0.0804106206203028,-0.07243304173779716,-0.02419398640615522,0.29552713652326307,-0.1243236975988154,0.21849238229964094
NVDA,0.11272242559993795,0.24175988499058432,-0.12506529321497217,-0.2397837204645691,-0.03706303107910064,0.042348308744521904
AVGO,0.11254459448487708,0.22903357302831306,0.012369845389720857,-0.08070640565408982,-0.01000575028994044,0.06513592604815134
CRM,0.10335640525675352,0.006053860278246059,0.29513973766915136,-0.005897025701564335,0.11523874950099444,0.1576221973082006
JPM,0.1467781871819879,0.07550142784968628,-0.025856750272909623,0.08185044995365576,-0.21389832933043995,-0.03125908673642284
BAC,0.10517455660112718,-0.026656023067381157,0.16614460080827048,-0.020508364301534743,0.10422599516023157,0.1610805818844054
GS,0.1635561307316908,-0.18703848428043623,0.002046726238831232,-0.05693916350972206,-0.08917873138737356,-0.11493167944458997
MS,0.17737860401801758,-0.030905192849609693,0.10129275348497156,-0.0008803181080475619,-0.16183261339303973,0.038608628221179477
BLK,0.14801843264197725,-0.08358234164821571,-0.00961974517635718,0.14190156991814556,-0.2458578575759095,0.04521128885524253
WFC,0.12261071973146762,0.14823915382455824,-0.09044547980890037,0.058317612841186126,0.10539889322678817,-0.12564011411469375
JNJ,0.12212570868785233,-0.21861193563166628,-0.1449171514233461,-0.026055797301447112,0.18837918017255972,0.13755042442605375
UNH,0.1271788610329147,0.11796222409637003,0.1477439090498912,0.06702992573911379,0.05573214871697449,-0.15504270394944591
LLY,0.10672289909039642,-0.02075567199344493,0.26501789008002263,-0.005445230561930329,0.1498830738350158,-0.016841563137944382
ABBV,0.14680676932065687,-0.13952830530252514,-0.1652286844911618,0.015351787493191695,0.10624687703204425,0.14580517388833947
MRK,0.13525555603223613,-0.10298431933073642,-0.012837705019083333,0.04415882923954846,-0.229699712811672,-0.04012275558898504
PFE,0.14406143451304718,-0.10106919520755808,0.04547166839458632,-0.09934964737905874,0.060547567825116236,-0.15722723098446179
AMZN,0.11247043540146358,0.2267291526734755,-0.1516105135793411,-0.211322155752561,-0.05087648563174973,0.07457637633640445
TSLA,0.13870639366228554,-0.20157484958781816,-0.14963391545606003,-0.03660726533389448,0.13190248907011926,0.12315151260160212
HD,0.10202445595607917,0.2088940173715099,0.14721934884738241,0.033487775983924196,0.017698447099496372,-0.01970004651207061
MCD,0.12184821262470681,0.16189433565453965,-0.13646678591636172,-0.2257719810500252,-0.01487564751212922,0.17921266240425202
NKE,0.1279280000762141,-0.11864114323407353,-0.02020813215504109,-0.007991521434455421,-0.19662573432778593,0.22458056701989926
LOW,0.11449588366692691,-0.13600971536059933,0.0070455780465923665,-0.2686877791434643,0.055844516983218066,-0.0440446743206199
CAT,0.12222967493426098,-0.01722257805457414,0.2014619916096975,-0.1407946413004979,0.14506943066861538,0.16641156602252252
HON,0.16237437234029958,-0.1461167149698795,0.0036425583314259485,-0.11428039942254371,-0.04387108210865381,-0.12401217221712442
UNP,0.16452012684335118,0.04423448887880097,0.061993940331692914,0.11528045997253429,-0.1306047485237046,-0.08169268114153175
RTX,0.18253922136435397,-0.03979415113962681,-0.041513128986991735,0.05832091779581224,0.018010398453558236,-0.12155807098433609
GE,0.1302629419710495,0.11774442114007336,-0.11571150826262029,0.21205983909435885,0.1141121360355713,0.1135056730509609
DE,0.16068327424031187,-0.17722524260991088,-0.017225846761850534,-0.04137163760322954,-0.08592854399123011,-0.10536694273582266
GOOGL,0.1415085154103586,0.11290914475406043,-0.16012840107256487,-0.0780874080276998,0.1371437835047652,-0.0852603489950959
META,0.1653264049384699,0.040426900046215485,-0.025922975515938893,0.12584155736747918,-0.06858613376627253,0.005017337790192206
DIS,0.03987184849894339,0.07011249388226762,-0.002395909288209099,0.2754458270557694,0.3876275823220158,0.1437897354219696
NFLX,0.1526081524980573,0.00019522712046032183,0.07229312011245764,0.1156074143218287,-0.10692567550344417,-0.03529586466789418
T,0.14434853697554148,0.08971048798714296,-0.06501160160364047,-0.00615787690629226,0.11472369260299045,-0.13166304343173654
PG,0.09601783796195894,0.046603447823368734,0.19532245338969276,-0.09105297025097847,-0.010278372870973218,0.01161550620177935
KO,0.08273246441288547,0.03277806910079145,-0.12050134751914725,0.3204557179422648,0.25101759252052636,-0.14373983175755053
PEP,0.1594290225211498,-0.16693029545358146,0.019811308112792296,-0.07444240696173744,-0.12670626993082407,-0.08458131344574353
WMT,0.13363811983038212,0.056792845961524424,0.23860733429294761,0.032378507552050184,0.19814776577031762,0.04611756981796432
COST,0.08589408946097536,0.2272406577376698,0.00039674723195965393,-0.17525751230850692,-0.10889028167098003,0.16728932139021155
CL,0.05169002850893273,0.129142545606853,-0.11187513170960364,0.035981269861086795,-0.13464850074574555,0.36216553655851985
XOM,0.07900863019475149,-0.04204087797710851,0.2788651667890742,-0.06663392840044395,0.055674197780806324,0.08597769195894832
CVX,0.13489112042489493,0.034181281879383206,0.04344207979067589,0.009570938098318405,-0.08682097171095424,-0.11542007405145899
COP,0.100983252773242,-0.04825986078360213,0.28492345588501755,0.032967541620927875,-0.01263651423078338,0.11248167350441922
SLB,0.14386545858823224,0.14503353580114575,-0.1420195177815362,0.045563182579754245,0.1244942218970917,-0.06427475828385316
EOG,0.09018234690742016,0.10031219318210634,-0.05277668739646764,0.24193746202273367,-0.10052150910916448,0.2760651235389182
NEE,0.10774175190867832,0.17171553856904467,-0.10728179072353676,0.08383465141214157,0.10419063713424968,-0.22440302742037146
DUK,0.15011706501920974,0.13520672388145435,0.08745913038892389,0.01547864552356649,-0.07248884743432989,-0.04242890385547163
SO,0.1006113002178034,0.1564777762486676,0.011716705428492553,-0.1353676970306996,-0.036868106952643635,-0.191731473152469
AEP,0.14069444695820424,-0.09067397989108475,-0.12652548864065682,-0.03572196407259463,0.06257592218656571,0.019363701041695547
EXC,0.1647596418246738,0.0639505449617231,0.02969394681320167,0.13018796973966984,-0.22252360772425073,-0.10964516119892584
PLD,0.14620338925682957,-0.2110666771983709,-0.13736649809463292,-0.046955423167100975,0.08382733212781326,0.09149656024951108
AMT,0.11025672512290295,0.20671486217676768,-0.15224388754424234,-0.266780839541654,0.03042854109816828,0.09092528952746924
EQIX,0.1525406293780316,-0.12279931248402416,-0.0580791602048276,-0.11267103775049575,0.07890543004243163,0.0026710431134975778
SPG,0.1116843631370327,-0.020078602937776555,-0.1299179420546741,0.03807392853558134,0.026622913413331627,-0.045818208676595876
PSA,0.08241794162017482,-0.020849766428792497,0.192387138654257,-0.048226113327084555,0.07438729262447911,0.09092854637056849
LIN,0.11754253579015893,0.04457340423429787,-0.05715197470506466,0.15586135470807905,-0.04548744146235071,0.07079590380537103
APD,0.16148258873237226,-0.03062553161707532,0.017644049660063905,0.11800017219171482,-0.12795586262572226,0.02460012719393269
NEM,0.13707672131086243,-0.21106654541962963,-0.03649060793459791,-0.08312528450108748,0.009469928073042814,-0.17210945284382034
FCX,0.10717076885037334,0.11782517844637673,0.04049495388190433,0.14428659849381878,0.05132301244864467,-0.2323559016625555
SHW,0.13045102584224,-0.16686377855124612,-0.1869439152890952,-0.008342661950495177,0.18493136502235466,0.09915798372110736
