Date,AAPL,MSFT,NVDA,AVGO,CRM,JPM,BAC,GS,MS,BLK,WFC,JNJ,UNH,LLY,ABBV,MRK,PFE,AMZN,TSLA,HD,MCD,NKE,LOW,CAT,HON,UNP,RTX,GE,DE,GOOGL,META,DIS,NFLX,T,PG,KO,PEP,WMT,COST,CL,XOM,CVX,COP,SLB,EOG,NEE,DUK,SO,AEP,EXC,PLD,AMT,EQIX,SPG,PSA,LIN,APD,NEM,FCX,SHW
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,-0.07164360834200391,-0.05919039045193959,-0.03133164389396252,-0.07988179778673503,-0.07788700865246911,-0.06446154253985022,-0.06960113354533849,-0.05800022608097895,-0.07239443052990169,-0.065341952954034,-0.03383956802995149,-0.0480153901249434,-0.05223256611849459,-0.04363290711698752,-0.06786857763850394,-0.04477775041527839,-0.03927026619896651,-0.06953247400786776,-0.24928109477241836,-0.0359878181823248,-0.032054840000228305,-0.05323461330356861,-0.045401012082953975,-0.03192438173633448,-0.03741172528266713,-0.03229199341991095,-0.05353001150964962,-0.044652757598095984,-0.039786858053308456,-0.05503157679980802,-0.16219821762427794,-0.04342899019340765,-0.0722378201707275,-0.03476489557869621,-0.030967894287933485,-0.039138296959533594,-0.03420750135180065,-0.0407364742766634,-0.03340832066992049,-0.038341915949345856,-0.034079210576094,-0.030303988332583527,-0.02643073686503581,-0.06009696934128897,-0.05810116363450316,-0.060642016235964734,-0.06124446475990138,-0.04487508232547185,-0.06123989949404514,-0.0808019937606945,-0.0572972698396547,-0.055894959266334254,-0.05357066733041604,-0.06007062039804974,-0.05944248789680059,-0.022925514144042654,-0.06702349138699577,-0.09907194127316962,-0.08374300636954668,-0.04379913556337375
