Date,AAPL,MSFT,NVDA,AVGO,CRM,JPM,BAC,GS,MS,BLK,WFC,JNJ,UNH,LLY,ABBV,MRK,PFE,AMZN,TSLA,HD,MCD,NKE,LOW,CAT,HON,UNP,RTX,GE,DE,GOOGL,META,DIS,NFLX,T,PG,KO,PEP,WMT,COST,CL,XOM,CVX,COP,SLB,EOG,NEE,DUK,SO,AEP,EXC,PLD,AMT,EQIX,SPG,PSA,LIN,APD,NEM,FCX,SHW
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01,0.2292368011714634,0.37318882619342464,0.3241432474709518,0.4445779018881144,0.24463897533404788,0.24337075126299612,0.3445402092413963,0.19373712479859106,0.34668361775072487,0.34429503541611295,0.32046091428196455,0.2598429344345279,0.36301470889731813,-0.023244683881966766,0.43294032847640596,0.18848857260939322,0.13983829369912382,0.4606675613992466,1.952368594798049,0.24637840442104952,0.04787776836691737,0.4483865300873642,0.29667966923806044,-0.06533369755660401,0.35387591556044184,0.29292563254630455,0.30802954062204413,0.28346129516203367,-0.01572699553277246,0.4544478689849638,0.5632223135784606,0.4131101544066438,1.117269529093634,0.053479571086412214,0.10088472857094843,0.13264831510520492,0.16367659038503968,0.14289667848929488,0.1656116697894099,0.22365047514357572,0.14590477514207034,0.11512706366795178,0.2605473992104219,0.15421270138749676,0.3229292661650405,0.21032894087722487,0.033857055276663495,-0.04532776311604625,0.059351750435807205,-0.1123751184526477,-0.05981393012794445,0.04780960292384351,-0.19498069014527208,-0.03682465159332626,-0.004257533928884283,0.1981927262460399,0.2881623292295905,-0.48083400316286307,0.11976102944689049,0.1341610312180288
