Date,AAPL,ABBV,AEP,AMT,AMZN,APD,AVGO,BAC,BLK,CAT,CL,COP,COST,CRM,CVX,DE,DIS,DUK,EOG,EQIX,EXC,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,LLY,LOW,MCD,META,MRK,MS,MSFT,NEE,NEM,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,PSA,RTX,SHW,SLB,SO,SPG,T,TSLA,UNH,UNP,WFC,WMT,XOM
2010-01-01,84443430597.99576,,10025237541.481705,14317578034.892387,67452456688.123566,10396384140.599304,5784552732.317768,82653492712.16568,21783291936.582733,16078301452.830254,21689301820.130882,25160991443.82006,18023934155.502274,12823591132.164001,74289518860.96417,9904881964.101768,43667591280.00745,18937930343.15077,16802211987.321072,6980070354.781494,17387133988.015144,34302243927.982758,58121562235.78358,77120776245.57788,32798000107.59929,18798491198.685238,15359477107.916195,93520329736.20842,68777508016.48096,70859043078.63042,25542388993.11493,20513110487.4293,8984035869.598389,28304675248.197617,,52132045147.22377,29553942849.38307,155748710461.12167,15718322857.398277,32177754131.824203,3744604102.524418,15284264191.455353,8533597231.8947315,49544986452.23522,50852283089.65211,88783547741.0491,13487506115.468979,7637823769.437759,38916170985.51858,4349839788.367792,64029729346.968376,17629702691.257607,10904424624.43628,41147187412.06334,,23199120478.30175,12598495451.816086,56798749691.8318,101216864789.15044,144351978184.42407
2010-02-01,89965756330.3566,,9727224508.789581,14388400200.774939,63682088681.82232,9386307253.582047,6040829399.072765,90711928249.29709,22290644820.06491,17678510001.189995,22603507362.076378,25160991443.82006,19134935311.81517,13711454784.39331,74474916808.10008,11362360225.494507,46164989010.58179,18731709561.918198,17503356338.1501,6852408567.455261,16502923744.669174,38727315145.27118,58049261270.62317,76663815806.22348,34480673623.19433,20939404677.620636,15963683959.614033,93728623279.27327,74218292829.99171,68860612014.25623,25481341525.154457,20011941367.162697,9877201910.01892,28948484451.244125,,50356981330.16427,31155972019.90599,158457012838.44138,14947875324.881676,36997656472.32707,3973187257.8092117,16207315228.605728,8982736017.853022,51913379298.00705,47827296096.14274,91934445669.21556,13678577539.794922,7928172970.501251,39590940838.224724,4351901169.309607,61648543874.45938,17739076837.2481,11857053459.466522,41057577897.76422,,23803707679.663895,14029097337.410088,54621097489.70629,102429235999.83566,145628980014.12302
2010-03-01,103322997953.22418,,10011266704.955246,14371534183.529417,73024635600.7409,10121279067.481956,6842944729.492061,97191400520.77974,22184693643.185486,19475799854.287376,23235781275.01047,27097500496.706226,18797076747.721985,15023075111.38916,78858697346.01047,11790679913.410858,51588341320.545166,18972295516.816933,17296789672.001038,7060583292.590454,16897549985.11929,43045251015.94639,66194984277.96326,82531480629.6659,37714303550.10766,21711209291.985023,18136113632.50397,97743877789.41089,79134330110.00343,71838641369.4917,28146805231.9804,21405499921.75664,10097990369.796753,30506795116.76672,,50998731113.16719,32383174625.79332,162640579723.5314,15747956793.54486,38236420682.34181,4435777314.260719,17621859933.91129,9648127132.683992,54979812313.7509,47178601233.973976,91919895478.76312,15308316057.853699,8873498582.60347,42725158187.52434,4673387216.410898,64238049854.71735,18515195071.945408,12816117362.651001,42762100219.96791,,22967125237.613922,15326291313.234833,62281102797.8945,105327641444.33722,151044050908.2288
2010-04-01,114794028107.06139,,10046412771.647049,13764432206.81333,73739985388.95558,10578379118.985718,6826305733.121707,97141521567.70636,18832480600.00994,21099547185.896976,22919649660.383377,31344547838.232067,18598749299.337387,17273003803.253174,84692795357.68846,11917168026.16964,54440415468.14148,19507057529.116623,20866305387.750015,7300673652.66803,16812691828.491058,38917991549.40777,68595475025.6781,76503736224.99176,32093510988.564674,23819973913.055035,19017472416.517105,96394694312.14583,75296990793.57042,70385512990.27087,28574987618.34297,20666764637.20315,11297749980.926514,32276302824.926178,,48345594706.550186,33411396528.171898,169581585741.98642,16960083037.960453,42185291612.49896,5949256410.264648,18272606047.673103,8711034670.02511,54583646375.76659,45995675882.99133,90307240487.38438,15816221608.87146,9417803305.048462,43502908142.76073,5390831048.522587,72295639804.02643,19296901562.627407,13598221839.743286,43126177388.06197,,21308040984.503273,15819742493.816402,66263736115.23735,102187391679.20155,152825541431.74023
2010-05-01,112942981096.53282,,9361029186.025269,13669995839.546032,67479344947.850815,9514749762.762611,6872899438.290141,85754731847.13448,17182594803.668335,18945594779.374306,21415747722.404938,27462890173.4425,18337460460.844803,17460665788.650513,76820406347.48187,11490844179.490295,49386495126.33594,18553800532.950947,19539651058.91472,6673972658.800354,14888049468.045103,36158594884.02554,59466357799.75775,70672462274.6336,31885746286.47338,22893678289.336582,17134564670.435884,87399834764.51344,70070183381.88618,67685977887.38994,26470328848.750305,19378424792.28399,10345863241.195679,30575383607.320972,,46482947394.30545,30023113842.769882,143261456862.82126,16269302441.373466,40485243645.728226,6686145951.878128,17422884461.52098,7285997914.612293,52633640714.92171,41896806086.86624,89435819099.36566,14720554454.00238,9007699230.096619,39109093003.39849,5291396467.236626,56838425802.908295,18497037002.768524,12988728602.552856,41081873785.080475,,20455107065.452568,14935292261.648273,57417922553.92958,96319832257.06123,136341081635.21002
2010-06-01,110590772268.45169,,9581205293.954544,15008988770.943886,58766086920.21755,8929206352.618881,7009360656.351399,78290715366.77847,14677055545.864265,18730451319.541603,21599488701.89003,26263966624.744717,17320117269.4178,17317397649.765015,71229286541.1598,11092409560.876038,46549216275.46777,18867601511.906395,18333800417.669754,5891315752.258972,14827448905.718075,30521882204.441,52446788194.05081,64752408685.06852,29087125814.6212,18978902509.970642,15741202931.149223,89347883987.24947,64812266759.231316,66000392789.31711,25921132683.773575,20076864961.081356,8535858515.739441,30371206409.40613,,48249004130.74994,25704028301.28463,128345801872.1131,15888067093.831722,46442955633.03035,6535761365.805916,16260232363.119373,5661341875.7766485,51010040249.66498,39641791619.73006,87810772462.27194,13460251098.461151,8543175732.189377,37895686253.53844,4799785808.240871,56215152424.6033,18825118587.772053,12417151796.34964,40895912341.27858,5966594706.806547,19983652758.399353,14604121122.333626,51311727107.17107,92108199856.66304,129570393046.501
2010-07-01,113105650859.05457,,10672812070.772186,15595867522.134495,63407779190.46527,10072527742.827469,7242338777.272888,76542346392.25867,16217600580.392075,21748779754.463734,21659837757.19305,29543615727.48155,17913986451.37491,19966866273.880005,79993869458.75096,13350842506.324722,49785487878.75586,20164754106.46543,18171653325.963974,6782772949.967102,16334790190.894451,36927697418.22984,59002096928.67819,70558939302.08344,33419059240.964745,19411694907.70366,17285872606.011307,87880444360.1105,71309451279.79625,73185407454.28714,29787150149.32663,21335410810.698505,8669624713.897705,32150967427.443356,,48072536955.102394,29890222374.29961,143963667579.7649,17217450163.37985,42124959145.61565,6168819984.070564,17791987737.779472,5095762026.801705,54742896907.58635,41698954316.96718,89538274469.74323,14169879163.37967,9619965116.357208,41509509054.40805,4797011270.405449,60603496607.5222,19984719332.329205,13719603652.987823,43854480819.426605,4992607484.3001795,21516063297.04596,15688242708.520536,55580990531.40527,98086541979.74783,135496071769.51938
2010-08-01,106884364105.50308,,10503729871.230011,15804983031.845749,67140497477.88098,10273752783.201447,6706486333.512955,67928623427.47944,14617363557.647186,20452872836.96236,20380305307.138195,28337214475.47084,17847648353.454483,22172401119.232178,77758138725.34682,12668078304.938957,48086085589.41943,20259092909.549515,16214012257.485237,6615942726.745789,15901333649.54616,37337165954.60611,52999413373.6458,65490218539.22467,30341287726.903954,18941883016.457287,15753304617.017576,86261681305.90434,64457702504.21276,74207974109.7508,29516107716.317024,20130802688.946712,8524127323.150635,33686353827.846695,,49049065603.68376,27393807417.52871,130911582153.39487,17688211861.676273,46209355162.874374,7550564047.98201,16912538799.661114,5173390364.602208,54127240107.614456,44228677301.20021,88040590855.05917,13667065756.113052,9610156695.905258,38070838732.62497,4882337952.457039,54173392446.076294,21015340806.59097,13908750370.786194,46762542478.23071,4877434479.768868,22413438937.008507,15324763681.238035,47202752291.08636,96074587878.1944,134201945848.57117
2010-09-01,124757041558.55942,,10872381661.83403,17289016602.591022,84475582165.41798,11493616411.925514,7491958152.230453,71417740792.91518,17655756936.811455,24696618345.002712,21213849065.80141,31039586276.676826,20445713735.448166,22559833070.755005,85869775645.77989,13971526462.728722,48913621942.12329,21177383999.49045,17352563037.588272,7423988575.059753,16838199431.976051,44286993362.104,59477923725.37462,76516837610.30774,32116833032.146843,21753474085.42696,17849036698.256096,94619088965.67021,67471411788.909,77713875896.81352,30967378856.17218,22180523091.779587,9368972213.745117,34612200877.19783,,51350850493.256004,27382712320.167915,137329652937.67471,18071927477.583332,47332182484.62039,9754613745.177933,19362436600.732094,6476443392.813206,56033246448.19916,48263053198.18277,88483234652.63882,15206690134.651184,9514077435.117111,41837580256.03363,5239614502.711029,62820926317.4721,21330370943.411705,14356995792.923828,49478672259.72087,5110289495.876889,24808822924.44059,17264955969.962425,50439310910.15779,103149615748.47902,141290434169.5229
2010-10-01,132332548657.40967,,11235497837.965302,17407069837.10459,88869863462.8149,11861207227.111862,8214198398.242023,62472495370.02205,17732502256.080254,24671512300.82437,21285611343.722878,32098936099.616146,19900409258.486893,23421464847.564697,87511956405.08495,15441345555.559578,53391214635.130615,21775274974.102333,17865834450.868797,6110373817.261353,16142203881.353453,49162256228.094315,59069864655.95917,89310153048.95341,35793221670.64066,21217877232.422203,19136735600.358433,97337309142.44196,66709110906.44896,82049150825.30838,31500648674.5253,21372964137.31112,8969668141.365051,36126562978.176956,,51184026358.41333,27593516161.590965,149554220418.01675,18287899779.250614,45974781391.36267,10440974355.003738,19750460506.594677,6664969046.682119,55486792513.23656,48965786941.58494,93794880277.49315,16194814983.478546,9804584674.497437,43916842331.20116,5088296816.57485,71263647144.42732,21691227359.49436,14864766214.006805,49340285430.12517,5468333845.14214,25566980634.214592,18505998995.037575,52326772527.960945,104402385418.92497,152037532811.62076
