,PC1,PC2,PC3,PC4,PC5,PC6
AAPL,0.12308054745941303,0.04281966224530983,0.2050668906024012,-0.0645077745326391,0.16054015792702833,0.010131580351552344
MSFT,0.08041067681502756,-0.07243302623949624,-0.024194152640232502,0.29552731272496907,-0.12432445352984872,0.21849165527069173
NVDA,0.11272234602965664,0.2417601201742295,-0.12506524722431633,-0.2397836973609906,-0.037063245240503834,0.042348438075249496
AVGO,0.1125446750642771,0.22903335351622772,0.012370102394042959,-0.08070610582906396,-0.01000659236183793,0.06513609943211848
CRM,0.10335639165680299,0.006053702707329189,0.2951398094256672,-0.005897090656039938,0.11523810414292357,0.15762260139472736
JPM,0.1467782669000067,0.07550116027842985,-0.025856709128488392,0.08185068181254401,-0.2138986918648904,-0.031258706938423024
BAC,0.10517447674697884,-0.02665625845848585,0.16614465189286895,-0.02050850224601164,0.10422672768918184,0.16108025519626626
GS,0.16355615824079656,-0.18703849450525337,0.0020469267570718784,-0.05693945346077678,-0.08917831036508903,-0.11493162349834066
MS,0.17737859197303973,-0.030905123623502326,0.10129284706428766,-0.0008800592168642929,-0.16183305724548458,0.03860884968902809
BLK,0.14801838795011607,-0.08358224601770214,-0.00961959960079528,0.1419017287971894,-0.24585714123601404,0.045210124641947784
WFC,0.12261076803135494,0.14823906747078996,-0.09044544520230073,0.05831692415490397,0.10539842833590037,-0.12564123802565913
JNJ,0.12212572935127965,-0.21861173847221668,-0.14491755923161598,-0.02605575629204557,0.1883787637067375,0.13755101854950363
UNH,0.1271788009701686,0.1179623528729543,0.14774378899110327,0.06703030300640575,0.05573291841819855,-0.15504333117394664
LLY,0.10672280902651918,-0.020755660899372384,0.2650178518968122,-0.005445823680178583,0.1498832399313196,-0.016841307600350963
ABBV,0.14680684207476793,-0.13952818014860657,-0.1652285632682247,0.015351599396831644,0.10624631790157685,0.14580557753974505
MRK,0.13525549696614714,-0.10298448258249449,-0.012837395472064977,0.04415917439301026,-0.2296990371063643,-0.04012368101755645
PFE,0.14406143609539573,-0.10106926219808614,0.04547156911469735,-0.09934941439142622,0.06054769089095613,-0.15722720727427125
AMZN,0.11247042892142049,0.22672911380169622,-0.1516103869688454,-0.2113220465747527,-0.0508773408334747,0.07457696693535065
TSLA,0.1387063407509582,-0.20157484704779663,-0.149634094887028,-0.03660708935196502,0.13190232387131748,0.12315203856299313
HD,0.1020246211497102,0.20889368046946785,0.14721942676821087,0.03348833785162915,0.017698704712619674,-0.01969979564947434
MCD,0.1218483230166476,0.16189425152788692,-0.136466925766117,-0.22577128062596966,-0.014875962705284422,0.1792125531193391
NKE,0.12792798012067952,-0.11864129901101965,-0.020208237382699206,-0.007991225371193882,-0.19662522153493386,0.2245797865053732
LOW,0.11449589276122289,-0.1360096888485068,0.007045369201710162,-0.26868776930955485,0.05584531671900963,-0.04404557546592256
CAT,0.12222959787799136,-0.017222830557941923,0.20146194759050007,-0.1407950053884951,0.14506889589749367,0.1664116293451432
HON,0.16237443091480555,-0.14611672000285614,0.003642474734520044,-0.11428037227402504,-0.04387133583130919,-0.12401172511682894
UNP,0.16452027386426477,0.044234480952792185,0.06199393074223306,0.1152802440349729,-0.1306046978859408,-0.08169275764834147
RTX,0.1825391941755034,-0.039794072251441444,-0.041513136684283164,0.058320888753852364,0.018010811401187286,-0.12155876864591197
GE,0.13026293980398307,0.11774429374770307,-0.11571112258110393,0.2120595874713901,0.11411195721631938,0.11350639110989572
DE,0.16068326459299734,-0.17722536575782108,-0.017225776572940218,-0.04137145665439124,-0.08592873972449822,-0.10536715511264727
GOOGL,0.14150830504466191,0.11290963780168844,-0.16012860352969874,-0.07808803126487064,0.13714369714039026,-0.08526033033805154
META,0.1653262656711278,0.04042656291101438,-0.02592296423144558,0.12584201361796035,-0.06858521442588011,0.005016637560977437
DIS,0.03987184197535022,0.0701127812412847,-0.002395792207275163,0.27544528136073293,0.3876278423558429,0.14378992773285076
NFLX,0.15260824194400285,0.00019529929045117506,0.07229312593500405,0.1156072981912469,-0.1069259948392456,-0.03529572054780004
T,0.14434851339539395,0.08971086464933663,-0.06501163792028941,-0.006158397425434874,0.11472319246940299,-0.1316613236637282
PG,0.09601779245007237,0.046603321084069664,0.1953224348215952,-0.09105290506847438,-0.010278560343052313,0.011615275037400239
KO,0.0827324481984627,0.032778188328719725,-0.12050127471875496,0.3204559245307901,0.2510187410748719,-0.14373911311013268
PEP,0.15942901001745388,-0.16693030102846979,0.01981135694727486,-0.07444265299041053,-0.1267066329409725,-0.08458107213623978
WMT,0.13363825450928093,0.05679297134017413,0.23860712828619762,0.03237801413640853,0.1981471057074645,0.04611816918814555
COST,0.08589418149086539,0.22724050243416372,0.00039698138045371516,-0.17525713642517757,-0.10889073915454958,0.16728895709503017
CL,0.05169003266988576,0.1291426091134979,-0.11187503120104246,0.03598127691462854,-0.13464895807058624,0.36216495361095397
XOM,0.07900862317509827,-0.042041044328223046,0.2788652045426979,-0.06663380438760741,0.05567406562070845,0.08597787449123073
CVX,0.13489103255807233,0.03418110541011589,0.0434423309492571,0.00957084731550809,-0.08682056433109259,-0.11542013561031939
COP,0.10098324688439074,-0.048259939666542094,0.28492350062240696,0.03296761713611045,-0.012636286104563464,0.11248118585919165
SLB,0.14386558382535308,0.14503371615943397,-0.1420190964999744,0.04556278980665533,0.12449312299382585,-0.06427427564595943
EOG,0.09018243626438865,0.10031219515730518,-0.052776370133626876,0.2419371720787143,-0.10052231405629145,0.2760653445669617
NEE,0.107741795325554,0.17171573113885538,-0.10728196260208953,0.08383465793528494,0.10419167891107142,-0.2244028163873725
DUK,0.1501170274047289,0.13520686209820645,0.0874590792938962,0.015478596572444287,-0.07248872501872641,-0.04242878388834921
SO,0.10061125898615413,0.15647765616969114,0.011716728057199742,-0.13536802972140655,-0.036866990625054635,-0.19173218922963078
AEP,0.14069452819286,-0.09067393772186517,-0.12652549176901148,-0.03572222071107755,0.06257587402950157,0.01936318431866954
EXC,0.1647595687288436,0.06395054954658787,0.02969414573904325,0.13018775272615787,-0.22252347370868553,-0.10964522485564648
PLD,0.14620336158241568,-0.21106676521433265,-0.13736657634258898,-0.04695530068649672,0.08382733843431321,0.09149663968008837
AMT,0.11025674175328082,0.2067149247969506,-0.15224375231088688,-0.2667810309370189,0.03042802925674089,0.09092494586279568
EQIX,0.15254061012431114,-0.12279927111370001,-0.058079380036435764,-0.11267129287558221,0.07890573331007128,0.0026706142043936647
SPG,0.11168431685764442,-0.020078299147098137,-0.12991829659672532,0.03807424982432183,0.026623789280463262,-0.04581910790924396
PSA,0.08241794118276187,-0.020849837017580176,0.19238705251508342,-0.04822668081469709,0.0743868419344429,0.09092944767228907
LIN,0.11754257275439987,0.04457339375021022,-0.057152134348783044,0.15586111625784854,-0.04548697797621712,0.07079697788047672
APD,0.16148267316405246,-0.03062558935686659,0.01764380139973928,0.11800036064127471,-0.12795553494487094,0.02459942996726873
NEM,0.13707672951329464,-0.21106656264688917,-0.03649076236888709,-0.08312498236672758,0.009469218493003974,-0.17210889058242887
FCX,0.10717069388009164,0.11782475113137925,0.04049510361084606,0.14428790397926053,0.05132366873645039,-0.23235617571848302
SHW,0.13045095815973654,-0.16686382883372472,-0.18694400012930987,-0.008342325588398564,0.18493133783437327,0.09915859709534304
